"Mjesec rođenja";"Spol";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Siječanj";"Muški";1995;1931;1979;1877;1829;1725;1719;1878;1881;1764;2019;1926;2026;1826;1827;1863;1731;1734;1495;1584;1656;1611;1635;1581
"Siječanj";"Ženski";1928;1899;1848;1779;1719;1673;1596;1738;1810;1739;1939;1841;1841;1753;1739;1681;1649;1541;1518;1464;1472;1508;1557;1472
"Veljača";"Muški";1838;1794;1802;1612;1640;1577;1572;1734;1675;1608;1771;1692;1750;1599;1682;1602;1563;1436;1408;1440;1457;1422;1418;1405
"Veljača";"Ženski";1797;1750;1748;1530;1559;1502;1464;1663;1589;1496;1697;1734;1643;1545;1595;1414;1487;1354;1385;1302;1362;1300;1300;1386
"Ožujak";"Muški";2004;1937;1824;1696;1775;1628;1641;1909;1792;1696;1760;1829;1848;1797;1768;1688;1633;1582;1612;1480;1558;1455;1434;1668
"Ožujak";"Ženski";1982;1789;1765;1656;1626;1510;1526;1853;1630;1569;1614;1734;1815;1584;1627;1634;1579;1488;1536;1437;1424;1398;1385;1458
"Travanj";"Muški";1924;1839;1777;1761;1611;1570;1622;1732;1722;1574;1737;1668;1750;1544;1661;1525;1558;1633;1457;1355;1402;1379;1407;1510
"Travanj";"Ženski";1874;1633;1640;1624;1607;1486;1479;1638;1577;1522;1711;1624;1601;1548;1610;1397;1461;1493;1339;1327;1258;1396;1302;1379
"Svibanj";"Muški";2151;1793;1844;1731;1705;1684;1628;1867;1853;1793;1784;1772;1797;1665;1735;1635;1607;1564;1391;1507;1421;1377;1424;1521
"Svibanj";"Ženski";1944;1786;1756;1628;1525;1580;1434;1715;1622;1663;1750;1689;1671;1594;1669;1502;1497;1430;1403;1479;1372;1439;1394;1327
"Lipanj";"Muški";1972;1969;1757;1608;1626;1724;1680;1827;1705;1750;1815;1852;1751;1747;1711;1704;1785;1596;1551;1545;1643;1432;1424;1520
"Lipanj";"Ženski";1864;1798;1672;1577;1514;1505;1593;1768;1634;1655;1628;1702;1680;1548;1536;1475;1572;1503;1493;1411;1398;1346;1421;1315
"Srpanj";"Muški";2167;2055;2092;1833;1728;1786;1873;1855;1876;1935;2024;2168;1956;1880;1994;1875;1847;1740;1711;1724;1777;1734;1711;1618
"Srpanj";"Ženski";2046;1960;1772;1763;1691;1737;1731;1815;1738;1831;1850;2012;1784;1747;1749;1750;1739;1526;1576;1590;1667;1551;1554;1499
"Kolovoz";"Muški";2028;2146;1936;1875;1800;1759;1871;1801;1876;1974;2009;2006;1838;1897;1937;1727;1738;1656;1780;1685;1714;1585;1668;1558
"Kolovoz";"Ženski";1978;1958;1803;1773;1681;1753;1669;1749;1721;1826;1784;1929;1730;1738;1731;1676;1607;1570;1697;1510;1554;1493;1505;1493
"Rujan";"Muški";2164;2220;2030;1878;1891;1894;1865;1875;1904;1996;1954;2081;2059;1853;2042;1943;1883;1685;1869;1643;1749;1700;1715;1705
"Rujan";"Ženski";2008;2051;1866;1768;1768;1785;1841;1817;1712;1806;1961;2037;1836;1748;1765;1759;1832;1644;1810;1661;1622;1604;1640;1597
"Listopad";"Muški";2080;1941;1877;1779;1769;1826;1774;1814;1809;1887;1894;1976;1914;1874;1891;1834;1769;1676;1660;1717;1643;1633;1617;1632
"Listopad";"Ženski";1905;1926;1860;1653;1713;1676;1702;1775;1739;1838;1837;1847;1847;1742;1789;1746;1675;1556;1623;1499;1625;1598;1530;1569
"Studeni";"Muški";1877;1787;1821;1632;1546;1632;1759;1731;1694;1723;1835;1883;1888;1690;1747;1708;1541;1487;1564;1588;1574;1570;1482;1607
"Studeni";"Ženski";1792;1683;1727;1577;1554;1529;1635;1615;1606;1711;1738;1717;1726;1703;1673;1537;1554;1440;1562;1517;1525;1546;1402;1485
"Prosinac";"Muški";1913;1806;1838;1737;1664;1576;1871;1727;1682;1760;1880;2024;1846;1805;1692;1627;1719;1590;1574;1577;1484;1580;1454;1643
"Prosinac";"Ženski";1837;1728;1712;1646;1553;1551;1762;1596;1599;1794;1762;1834;1764;1770;1601;1637;1540;1579;1523;1514;1588;1478;1466;1560
